name,description,WKT
"пер. 2986","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 2986</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2986</td></tr><tr><th>Характер склонов</th><td>ос</td></tr><tr><th>Соединяет</th><td></td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;38'&nbsp;29.58'' N<br />41&deg;&nbsp;&nbsp;&nbsp;6'&nbsp;13.32'' E</td></tr><tr><th>Описаний</th><td>5, в т.ч. 4 технических, 2 с фото</td></tr><tr><th>Номер</th><td>10450</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/10450'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.1037 43.64155 0)"
"пер. Абадзешский","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Абадзешский</font></h2></th></tr><tr><th>Другие названия</th><td>Абадзеш</td></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2043</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>истоки р. Курджипс - истоки р. Армянки (Инструкторская Щель)</td></tr><tr><th>Координаты WGS84</th><td>44&deg;&nbsp;&nbsp;&nbsp;1'&nbsp;41.95'' N<br />39&deg;&nbsp;59'&nbsp;54.24'' E</td></tr><tr><th>Описаний</th><td>3 технических,  с фото</td></tr><tr><th>Номер</th><td>14921</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/14921'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (39.9984 44.02832 0)"
"пер. Аданге","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Аданге </font></h2></th></tr><tr><th>Другие названия</th><td>Аданге Сев.</td></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2300</td></tr><tr><th>Характер склонов</th><td>дорога</td></tr><tr><th>Соединяет</th><td>р.Бзыбь - р.Аданге (р.Чхалта)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;18'&nbsp;48.38'' N<br />41&deg;&nbsp;16'&nbsp;49.59'' E</td></tr><tr><th>Описаний</th><td>4, в т.ч. 4 технических, 3 с фото</td></tr><tr><th>Номер</th><td>3422</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3422'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.280441666667 43.313438888889 0)"
"пер. Адзапш","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Адзапш</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2492</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>р.Адзапш (р.Санчара) - р.Ахей (р.Бавю)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;27'&nbsp;23.58'' N<br />40&deg;&nbsp;53'&nbsp;40.68'' E</td></tr><tr><th>Описаний</th><td>1 техническое</td></tr><tr><th>Номер</th><td>3359</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3359'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.894633333333 43.45655 0)"
"пер. Адиши","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Адиши</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>3143</td></tr><tr><th>Характер склонов</th><td>тр-сн-ос</td></tr><tr><th>Соединяет</th><td>исток реки Твиби с истоком реки Адишчала и ледником Лардаад</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;&nbsp;&nbsp;0'&nbsp;45'' N<br />42&deg;&nbsp;57'&nbsp;28.5'' E</td></tr><tr><th>Описаний</th><td>2 технических,  с фото</td></tr><tr><th>Номер</th><td>14687</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/14687'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.957916666667 43.0125 0)"
"пер. Ажога","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Ажога</font></h2></th></tr><tr><th>Другие названия</th><td>Уруп-Джога</td></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2648</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td></td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;37'&nbsp;47.68'' N<br />40&deg;&nbsp;58'&nbsp;25.2'' E</td></tr><tr><th>Описаний</th><td>11, в т.ч. 10 технических, 8 с фото</td></tr><tr><th>Номер</th><td>9504</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/9504'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.9736678889 43.629911 0)"
"пер. Аишха-1","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Аишха-1</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2402</td></tr><tr><th>Характер склонов</th><td>тропа</td></tr><tr><th>Соединяет</th><td>р.Пслушонок (р.Мзымта) - р.Мал.Лаба</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;40'&nbsp;&nbsp;&nbsp;7.26'' N<br />40&deg;&nbsp;27'&nbsp;14.04'' E</td></tr><tr><th>Описаний</th><td>1 техническое</td></tr><tr><th>Номер</th><td>3317</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3317'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.4539 43.668683333333 0)"
"пер. Аксу Верхний","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Аксу Верхний</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>3290</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td></td></tr><tr><th>Координаты WGS84</th><td>40&deg;&nbsp;39'&nbsp;&nbsp;&nbsp;0.25'' N<br />40&deg;&nbsp;51'&nbsp;24.95'' E</td></tr><tr><th>Описаний</th><td>1 техническое,  с фото</td></tr><tr><th>Номер</th><td>13519</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/13519'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.85693 40.65007 0)"
"пер. Аллаштраху","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Аллаштраху</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2738</td></tr><tr><th>Характер склонов</th><td>сн весной</td></tr><tr><th>Соединяет</th><td>р.Санчара (р.Бол.Лаба) - р.Ахей (р.Бавю)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;25'&nbsp;14.64'' N<br />40&deg;&nbsp;56'&nbsp;59.88'' E</td></tr><tr><th>Описаний</th><td>2, в т.ч. 2 технических, 1 с фото</td></tr><tr><th>Номер</th><td>3361</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3361'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.949966666667 43.420733333333 0)"
"пер. Алоус","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Алоус</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>0</td></tr><tr><th>Характер склонов</th><td>тр</td></tr><tr><th>Соединяет</th><td>р.Алоус (р.Уруштен) - р.Ачипста (р.Мал.Лаба)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;49'&nbsp;53.33'' N<br />40&deg;&nbsp;34'&nbsp;34.15'' E</td></tr><tr><th>Номер</th><td>3336</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3336'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.5761523011 43.8314818181 0)"
"пер. Амбар Центральный","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Амбар Центральный</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>3157</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>ущ. Демиркапи – ущ. Ергис (оз. Амбар)</td></tr><tr><th>Координаты WGS84</th><td>40&deg;&nbsp;57'&nbsp;49.5'' N<br />41&deg;&nbsp;14'&nbsp;36.03'' E</td></tr><tr><th>Описаний</th><td>1 техническое</td></tr><tr><th>Номер</th><td>13659</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/13659'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.243342 40.96375 0)"
"пер. Амткел","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Амткел</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>1859</td></tr><tr><th>Характер склонов</th><td>тр-ос</td></tr><tr><th>Соединяет</th><td>р.Аданге - р.Амткел</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;17'&nbsp;&nbsp;&nbsp;8.53'' N<br />41&deg;&nbsp;17'&nbsp;37.79'' E</td></tr><tr><th>Номер</th><td>3557</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3557'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.293830555556 43.285702777778 0)"
"пер. Анчха","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Анчха</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2000</td></tr><tr><th>Характер склонов</th><td>сн весной</td></tr><tr><th>Соединяет</th><td>р.Лашипсе - р.Агурипста (р.Бзыбь)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;28'&nbsp;56.1'' N<br />40&deg;&nbsp;41'&nbsp;48.66'' E</td></tr><tr><th>Описаний</th><td>4, в т.ч. 4 технических, 1 с фото</td></tr><tr><th>Номер</th><td>3378</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3378'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.69685 43.48225 0)"
"пер. Арида","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Арида</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>3109</td></tr><tr><th>Характер склонов</th><td>тр-ос</td></tr><tr><th>Соединяет</th><td>р.Кила, р.Ангидарилих, р.Ацебари - р.Арида, р.Рутлух</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;23'&nbsp;39.05'' N<br />46&deg;&nbsp;16'&nbsp;24.17'' E</td></tr><tr><th>Описаний</th><td>1 техническое</td></tr><tr><th>Номер</th><td>2542</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/2542'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (46.27338 42.39418 0)"
"пер. Армянский","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Армянский</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>1865</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td></td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;58'&nbsp;17.7'' N<br />39&deg;&nbsp;56'&nbsp;28.9'' E</td></tr><tr><th>Описаний</th><td>3, в т.ч. 2 технических, 3 с фото</td></tr><tr><th>Номер</th><td>14480</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/14480'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (39.941361111111 43.971583333333 0)"
"пер. Архонский","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Архонский</font></h2></th></tr><tr><th>Другие названия</th><td>Кора</td></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2206</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td></td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;49'&nbsp;51.08'' N<br />44&deg;&nbsp;12'&nbsp;46.8'' E</td></tr><tr><th>Описаний</th><td>1 техническое,  с фото</td></tr><tr><th>Номер</th><td>8745</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/8745'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (44.2130000181 42.83085668059999 0)"
"пер. Архонский Северный","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Архонский Северный</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2435</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td></td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;50'&nbsp;45.24'' N<br />44&deg;&nbsp;13'&nbsp;22.2'' E</td></tr><tr><th>Описаний</th><td>2, в т.ч. 2 технических, 1 с фото</td></tr><tr><th>Номер</th><td>8746</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/8746'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (44.222833333333 42.8459 0)"
"пер. Архызское седло","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Архызское седло</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2200</td></tr><tr><th>Характер склонов</th><td>тр-ос</td></tr><tr><th>Соединяет</th><td>р.Ревунок (р.Зеленчук Бол.) - р.Рапочай (р.Зеленчук Бол.)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;32'&nbsp;42.36'' N<br />41&deg;&nbsp;20'&nbsp;32.53'' E</td></tr><tr><th>Описаний</th><td>9, в т.ч. 9 технических, 5 с фото</td></tr><tr><th>Номер</th><td>8011</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/8011'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.34237 43.5451 0)"
"пер. Арша","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Арша</font></h2></th></tr><tr><th>Другие названия</th><td>Соберце</td></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2930</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>р.Чхери - р.Ухрта</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;39'&nbsp;31.56'' N<br />44&deg;&nbsp;34'&nbsp;24.96'' E</td></tr><tr><th>Описаний</th><td>4, в т.ч. 4 технических, 1 с фото</td></tr><tr><th>Номер</th><td>3977</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3977'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (44.573599 42.658767 0)"
"пер. Атсиз Северный","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Атсиз Северный</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>3430</td></tr><tr><th>Характер склонов</th><td>тр-ос</td></tr><tr><th>Соединяет</th><td>оз. Атсиз - оз. Дениз</td></tr><tr><th>Координаты WGS84</th><td>40&deg;&nbsp;48'&nbsp;56.39'' N<br />41&deg;&nbsp;&nbsp;&nbsp;9'&nbsp;43.95'' E</td></tr><tr><th>Описаний</th><td>1 техническое,  с фото</td></tr><tr><th>Номер</th><td>16463</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/16463'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.162208333333 40.815663888889 0)"
"пер. Аттагийский","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Аттагийский</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2602</td></tr><tr><th>Характер склонов</th><td>ос</td></tr><tr><th>Соединяет</th><td>р.Аттагай - р.Кунахайсу, р.Курмухчай</td></tr><tr><th>Координаты WGS84</th><td>41&deg;&nbsp;33'&nbsp;17.06'' N<br />47&deg;&nbsp;&nbsp;&nbsp;3'&nbsp;&nbsp;&nbsp;2.88'' E</td></tr><tr><th>Описаний</th><td>1 техническое</td></tr><tr><th>Номер</th><td>2797</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/2797'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (47.05080000000001 41.55474 0)"
"пер. Ахукдарский","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Ахукдарский</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2106</td></tr><tr><th>Характер склонов</th><td>лес-тр</td></tr><tr><th>Соединяет</th><td>р.Азмыч (р.Мзымта) - р.Ауадхара</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;32'&nbsp;35.76'' N<br />40&deg;&nbsp;36'&nbsp;17.52'' E</td></tr><tr><th>Номер</th><td>3344</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3344'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.6048666667 43.5432666667 0)"
"пер. Ацгара","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Ацгара</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2714</td></tr><tr><th>Характер склонов</th><td>тр-ос</td></tr><tr><th>Соединяет</th><td>р.Ацгара Вост. (р.Ацгара, р.Уруп) - р.Речепста (р.Архыз)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;37'&nbsp;16.8'' N<br />41&deg;&nbsp;&nbsp;&nbsp;3'&nbsp;28.5'' E</td></tr><tr><th>Описаний</th><td>41, в т.ч. 39 технических, 32 с фото</td></tr><tr><th>Номер</th><td>3430</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3430'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.0579166667 43.6213333333 0)"
"пер. Ацетукский","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Ацетукский</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2130</td></tr><tr><th>Характер склонов</th><td>тр-ос</td></tr><tr><th>Соединяет</th><td>р.Азмыч (р.Мзымта) - оз.Мзи, р.Мзимна</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;31'&nbsp;36.6'' N<br />40&deg;&nbsp;34'&nbsp;48.54'' E</td></tr><tr><th>Номер</th><td>3343</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3343'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.58015 43.526833333333 0)"
"пер. Ачаучар","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Ачаучар</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>1900</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>Пастбища сев.склона Бзыбского хр.- р.Доуляквара (р.Гумиста Зап.)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;18'&nbsp;&nbsp;&nbsp;1.72'' N<br />40&deg;&nbsp;54'&nbsp;19.06'' E</td></tr><tr><th>Номер</th><td>3449</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3449'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.905294444444 43.300477777778 0)"
"пер. Бадук","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Бадук</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>3004</td></tr><tr><th>Характер склонов</th><td>тр-ос</td></tr><tr><th>Соединяет</th><td>р.Бадук - р.Уллу-Марка</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;23'&nbsp;13.7'' N<br />41&deg;&nbsp;34'&nbsp;51.85'' E</td></tr><tr><th>Описаний</th><td>7, в т.ч. 6 технических, 1 с фото</td></tr><tr><th>Номер</th><td>228</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/228'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.581069722222 43.387139722222 0)"
"пер. Бак","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Бак</font></h2></th></tr><tr><th>Категория сложности</th><td>н/к</td></tr><tr><th>Высота</th><td>2416</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td></td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;&nbsp;&nbsp;4'&nbsp;28.02'' N<br />42&deg;&nbsp;33'&nbsp;39.75'' E</td></tr><tr><th>Номер</th><td>12370</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/12370'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.561041944444 43.07445 0)"
