name,visibility,description,WKT
"пер. Аксаут Сев.","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Аксаут Сев.</font></h2></th></tr><tr><th>Категория сложности</th><td>2А*</td></tr><tr><th>Высота</th><td>3250</td></tr><tr><th>Характер склонов</th><td>ск-лд</td></tr><tr><th>Соединяет</th><td>ледн.Джалаучат, р.Джалаучат (р.Аксаут) - ледн.Аксаут, р.Аксаут</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;19'&nbsp;&nbsp;&nbsp;4.33'' N<br />41&deg;&nbsp;27'&nbsp;51.3'' E</td></tr><tr><th>Описаний</th><td>3, в т.ч. 2 технических, 3 с фото</td></tr><tr><th>Номер</th><td>3512</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3512'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.46425 43.31787 0)"
"пер. Актур","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Актур</font></h2></th></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3401</td></tr><tr><th>Характер склонов</th><td>ск-лд-ос</td></tr><tr><th>Соединяет</th><td>л. Актур, р.Джалпаккол (р.Гондарай) - р.Мырды (р.Узункол)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;15'&nbsp;20.06'' N<br />42&deg;&nbsp;&nbsp;&nbsp;5'&nbsp;41.08'' E</td></tr><tr><th>Описаний</th><td>5, в т.ч. 4 технических, 5 с фото</td></tr><tr><th>Номер</th><td>10411</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/10411'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.094744444444 43.255572222222 0)"
"пер. Акчай Ложный","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Акчай Ложный</font></h2></th></tr><tr><th>Другие названия</th><td>N5L</td></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3500</td></tr><tr><th>Характер склонов</th><td>сн-ск</td></tr><tr><th>Соединяет</th><td>дол.Джимбар (Демирказык Сев.) - р.Аксу</td></tr><tr><th>Координаты WGS84</th><td>37&deg;&nbsp;50'&nbsp;27.6'' N<br />35&deg;&nbsp;11'&nbsp;21.6'' E</td></tr><tr><th>Описаний</th><td>4, в т.ч. 3 технических, 3 с фото</td></tr><tr><th>Номер</th><td>6492</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/6492'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (35.189333 37.841 0)"
"пер. Алан","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Алан</font></h2></th></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3100</td></tr><tr><th>Характер склонов</th><td>ск-лд</td></tr><tr><th>Соединяет</th><td>ледн.Алан, р.Кизгыч-Баш - р.Сатхаро (р.Бзыбь)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;21'&nbsp;49.46'' N<br />41&deg;&nbsp;15'&nbsp;44.63'' E</td></tr><tr><th>Описаний</th><td>3, в т.ч. 2 технических, 3 с фото</td></tr><tr><th>Номер</th><td>3394</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3394'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.262397222222 43.363738888889 0)"
"пер. Аманауз Архызский","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Аманауз Архызский</font></h2></th></tr><tr><th>Другие названия</th><td>Аманауз</td></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3050</td></tr><tr><th>Характер склонов</th><td>лд</td></tr><tr><th>Соединяет</th><td>ледн.Аманауз, р.Аманауз (р.Псыш, р.Зеленчук Бол.) - р.Бол.Лаба.</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;24'&nbsp;58.86'' N<br />41&deg;&nbsp;&nbsp;&nbsp;5'&nbsp;57.88'' E</td></tr><tr><th>Описаний</th><td>27, в т.ч. 15 технических, 21 с фото</td></tr><tr><th>Номер</th><td>3407</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3407'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.099411111111 43.41635 0)"
"пер. Аманауз Малый","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Аманауз Малый</font></h2></th></tr><tr><th>Другие названия</th><td>Торнау, Донецкий, Аманауз Южн.</td></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3326</td></tr><tr><th>Характер склонов</th><td>лд-сн</td></tr><tr><th>Соединяет</th><td>ледн.Аманауз Сев., р.Аманауз (р.Псыш, р.Зеленчук Бол.) - ледн.Лабинский, р.Бол.Лаба</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;24'&nbsp;32.5'' N<br />41&deg;&nbsp;&nbsp;&nbsp;6'&nbsp;22.8'' E</td></tr><tr><th>Описаний</th><td>15, в т.ч. 13 технических, 9 с фото</td></tr><tr><th>Номер</th><td>3409</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3409'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.106333333333 43.409027777778 0)"
"пер. Амбар","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Амбар</font></h2></th></tr><tr><th>Другие названия</th><td>Ambar</td></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3019</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>ущ. Качкар – ущ. Ергуси (оз. Амбар)</td></tr><tr><th>Координаты WGS84</th><td>40&deg;&nbsp;58'&nbsp;&nbsp;&nbsp;3.93'' N<br />41&deg;&nbsp;13'&nbsp;57.69'' E</td></tr><tr><th>Номер</th><td>13670</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/13670'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.232692 40.967758 0)"
"пер. Ануква","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Ануква</font></h2></th></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3100</td></tr><tr><th>Характер склонов</th><td>лд-ск</td></tr><tr><th>Соединяет</th><td>р.Ачапара - р.Хецквара</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;10'&nbsp;44.6'' N<br />41&deg;&nbsp;48'&nbsp;40.95'' E</td></tr><tr><th>Номер</th><td>3555</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3555'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.811375 43.179055 0)"
"пер. Арцивис","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Арцивис</font></h2></th></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3580</td></tr><tr><th>Характер склонов</th><td>сн-лд-ск-ос</td></tr><tr><th>Соединяет</th><td>р.Бисна (р.Асса) - р.Ковгра (р.Асса)</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;41'&nbsp;26.69'' N<br />45&deg;&nbsp;&nbsp;&nbsp;1'&nbsp;37.33'' E</td></tr><tr><th>Номер</th><td>2378</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/2378'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (45.027036666667 42.690748333333 0)"
"пер. Ахсу","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Ахсу</font></h2></th></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3830</td></tr><tr><th>Характер склонов</th><td>сн-лд</td></tr><tr><th>Соединяет</th><td>лед.Ахсу (лед.Шхельды) - лед.Квамп (р.Долра)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;10'&nbsp;19.02'' N<br />42&deg;&nbsp;35'&nbsp;43.94'' E</td></tr><tr><th>Описаний</th><td>3, в т.ч. 3 технических, 1 с фото</td></tr><tr><th>Номер</th><td>302</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/302'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.59554 43.17195 0)"
"пер. Ахсу","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Ахсу</font></h2></th></tr><tr><th>Категория сложности</th><td>2А*</td></tr><tr><th>Высота</th><td>3915</td></tr><tr><th>Характер склонов</th><td>сн-лд</td></tr><tr><th>Соединяет</th><td>ледн.Гюльчи Мал., р.Ортозюрек - ледн.Ахсу, р.Ахсу (р.Карасу, р.Черек Балкарский)</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;59'&nbsp;17.2'' N<br />43&deg;&nbsp;23'&nbsp;17.48'' E</td></tr><tr><th>Описаний</th><td>3, в т.ч. 3 технических, 1 с фото</td></tr><tr><th>Номер</th><td>3831</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3831'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (43.38819 42.98811 0)"
"пер. Ацгара","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Ацгара</font></h2></th></tr><tr><th>Другие названия</th><td>Ацгара Птышский</td></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3350</td></tr><tr><th>Характер склонов</th><td>ск-лд</td></tr><tr><th>Соединяет</th><td>ледн.Птыш, ур.Ойюзец, р.Птыш Южн. - ледн.Акбек</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;12'&nbsp;44.19'' N<br />41&deg;&nbsp;40'&nbsp;57.67'' E</td></tr><tr><th>Описаний</th><td>2, в т.ч. 2 технических, 1 с фото</td></tr><tr><th>Номер</th><td>3552</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3552'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.682686111111 43.212275 0)"
"пер. Ачаучат","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Ачаучат</font></h2></th></tr><tr><th>Другие названия</th><td>Азовского клуба туристов, АКТ</td></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3421</td></tr><tr><th>Характер склонов</th><td>сн-лд</td></tr><tr><th>Соединяет</th><td>ледн.Талычхан Вост., р.Талычхан - ледн.Кичкинекол Вост., р.Кичкинекол Вост.</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;13'&nbsp;42.72'' N<br />42&deg;&nbsp;18'&nbsp;15.12'' E</td></tr><tr><th>Описаний</th><td>8, в т.ч. 8 технических, 5 с фото</td></tr><tr><th>Номер</th><td>3603</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3603'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.3042 43.228533333333 0)"
"пер. Ашинова","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Ашинова</font></h2></th></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3800</td></tr><tr><th>Характер склонов</th><td>ск-сн</td></tr><tr><th>Соединяет</th><td>ледн.Крумкол (ледн.Дыхсу (Дых-Котю-Бугой)), р.Дыхсу (р.Черек Балкарский) - ледн.Тютюн Южн., р.Тютюнсу (р.Черек Балкарский)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;&nbsp;&nbsp;0'&nbsp;33.66'' N<br />43&deg;&nbsp;13'&nbsp;39.04'' E</td></tr><tr><th>Описаний</th><td>12, в т.ч. 12 технических, 11 с фото</td></tr><tr><th>Номер</th><td>3732</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3732'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (43.22751 43.00935 0)"
"пер. Бабаку","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Бабаку</font></h2></th></tr><tr><th>Категория сложности</th><td>2А*</td></tr><tr><th>Высота</th><td>3622</td></tr><tr><th>Характер склонов</th><td>ск-лд</td></tr><tr><th>Соединяет</th><td>р.Бурши, р.Акулалу, лед.Бабаку, хр.Бабаку - р.Арцелинех, р.Бурши</td></tr><tr><th>Координаты WGS84</th><td>41&deg;&nbsp;54'&nbsp;16.85'' N<br />47&deg;&nbsp;&nbsp;&nbsp;4'&nbsp;40.51'' E</td></tr><tr><th>Описаний</th><td>2, в т.ч. 1 техническое, 1 с фото</td></tr><tr><th>Номер</th><td>2708</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/2708'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (47.07792 41.90468 0)"
"пер. Балиал З.","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Балиал З.</font></h2></th></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3714</td></tr><tr><th>Характер склонов</th><td>ск-сн</td></tr><tr><th>Соединяет</th><td>р.Дюльтычай - р.Казикумухское Койсу</td></tr><tr><th>Координаты WGS84</th><td>41&deg;&nbsp;54'&nbsp;39.06'' N<br />47&deg;&nbsp;&nbsp;&nbsp;1'&nbsp;23.23'' E</td></tr><tr><th>Описаний</th><td>2, в т.ч. 2 технических, 1 с фото</td></tr><tr><th>Номер</th><td>2698</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/2698'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (47.02312 41.91085 0)"
"пер. Балкарский","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Балкарский</font></h2></th></tr><tr><th>Категория сложности</th><td>2А*</td></tr><tr><th>Высота</th><td>3900</td></tr><tr><th>Характер склонов</th><td>лд-ос</td></tr><tr><th>Соединяет</th><td>р.Кестанты - р. Кенчат (р.Джайлык)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;16'&nbsp;30.53'' N<br />42&deg;&nbsp;57'&nbsp;18.04'' E</td></tr><tr><th>Описаний</th><td>5, в т.ч. 5 технических, 4 с фото</td></tr><tr><th>Номер</th><td>17</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/17'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.955011111111 43.275147222222 0)"
"пер. Бартуй Южный","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Бартуй Южный</font></h2></th></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3600</td></tr><tr><th>Характер склонов</th><td>сн-лд</td></tr><tr><th>Соединяет</th><td>лед.Бартуй - лед.Киртишо</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;49'&nbsp;16.72'' N<br />43&deg;&nbsp;36'&nbsp;28.19'' E</td></tr><tr><th>Описаний</th><td>9, в т.ч. 7 технических, 3 с фото</td></tr><tr><th>Номер</th><td>3779</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3779'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (43.60783 42.82131 0)"
"пер. Бастион","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Бастион</font></h2></th></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3850</td></tr><tr><th>Характер склонов</th><td>ск-сн-лд</td></tr><tr><th>Соединяет</th><td>ледн.Мерцбахера, ПП р.Данейламхи (р.Шароаргун)- лев.исток р.Дидихеви (р.Пирикительская Алазани, р.Андийское Койсу)</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;30'&nbsp;20.96'' N<br />45&deg;&nbsp;38'&nbsp;28.37'' E</td></tr><tr><th>Номер</th><td>2465</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/2465'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (45.641213333333 42.505823333333 0)"
"пер. Бауманец","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Бауманец</font></h2></th></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3729</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td></td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;19'&nbsp;15.16'' N<br />42&deg;&nbsp;38'&nbsp;24.86'' E</td></tr><tr><th>Описаний</th><td>2 технических,  с фото</td></tr><tr><th>Номер</th><td>7530</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/7530'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.6402379257 43.3208770817 0)"
"пер. Бауманцев","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Бауманцев</font></h2></th></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3800</td></tr><tr><th>Характер склонов</th><td>сн-лд-ск</td></tr><tr><th>Соединяет</th><td>р.Харес - лед.С.Танацете. Восточнее в.4110</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;53'&nbsp;51.58'' N<br />43&deg;&nbsp;30'&nbsp;&nbsp;&nbsp;4.08'' E</td></tr><tr><th>Описаний</th><td>3, в т.ч. 3 технических, 2 с фото</td></tr><tr><th>Номер</th><td>3800</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3800'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (43.5011333333 42.8976611111 0)"
"пер. Башиль","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Башиль</font></h2></th></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3460</td></tr><tr><th>Характер склонов</th><td>сн</td></tr><tr><th>Соединяет</th><td>лед.Дзынал - В. ветвь лед.Лекзыр</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;&nbsp;&nbsp;8'&nbsp;47.34'' N<br />42&deg;&nbsp;51'&nbsp;55.86'' E</td></tr><tr><th>Описаний</th><td>12, в т.ч. 12 технических, 6 с фото</td></tr><tr><th>Номер</th><td>3698</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3698'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.865516666667 43.146483333333 0)"
"пер. Башильауз","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Башильауз</font></h2></th></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3460</td></tr><tr><th>Характер склонов</th><td>лд-ос</td></tr><tr><th>Соединяет</th><td>лед.Башиль (С. ветвь) - лед.Лекзыр (В. ветвь). З. седловина</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;10'&nbsp;18.12'' N<br />42&deg;&nbsp;52'&nbsp;19.63'' E</td></tr><tr><th>Описаний</th><td>5, в т.ч. 5 технических, 3 с фото</td></tr><tr><th>Номер</th><td>319</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/319'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.87212 43.1717 0)"
"пер. Безымянный","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Безымянный</font></h2></th></tr><tr><th>Другие названия</th><td>Безымянный Штульский</td></tr><tr><th>Категория сложности</th><td>2А</td></tr><tr><th>Высота</th><td>3650</td></tr><tr><th>Характер склонов</th><td>сн-ск</td></tr><tr><th>Соединяет</th><td>ледн.Безымянный (ледн.№420), р.Ахсу - р.Орсдон (р.Урух)</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;57'&nbsp;25.42'' N<br />43&deg;&nbsp;25'&nbsp;54.34'' E</td></tr><tr><th>Описаний</th><td>5, в т.ч. 5 технических, 2 с фото</td></tr><tr><th>Номер</th><td>3832</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3832'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (43.43176 42.95706 0)"
