name,visibility,description,WKT
"пер. SRTM","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. SRTM</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>2977</td></tr><tr><th>Характер склонов</th><td>ск-лд-сн-ос</td></tr><tr><th>Соединяет</th><td>р.Квешхи (р.Хаишура, р.Ингури) - р.Дидгали (р.Магана, р.Ингури)</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;50'&nbsp;11.98'' N<br />42&deg;&nbsp;11'&nbsp;34.1'' E</td></tr><tr><th>Описаний</th><td>1 техническое,  с фото</td></tr><tr><th>Номер</th><td>12550</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/12550'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.192806 42.836662 0)"
"пер. Авджибель","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Авджибель</font></h2></th></tr><tr><th>Другие названия</th><td>Авцибель, Avcibeli, N21</td></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3180</td></tr><tr><th>Характер склонов</th><td>сн</td></tr><tr><th>Соединяет</th><td>дол.Эмли (Мур) - пр.исток р.Акдере</td></tr><tr><th>Координаты WGS84</th><td>37&deg;&nbsp;43'&nbsp;24.6'' N<br />35&deg;&nbsp;&nbsp;&nbsp;8'&nbsp;14.7'' E</td></tr><tr><th>Описаний</th><td>6, в т.ч. 5 технических, 6 с фото</td></tr><tr><th>Номер</th><td>6503</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/6503'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (35.137417 37.7235 0)"
"пер. Авджибель Вост.","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Авджибель Вост.</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3345</td></tr><tr><th>Характер склонов</th><td>сн-ос</td></tr><tr><th>Соединяет</th><td>дол.Эмли - пр.исток р.Акдере</td></tr><tr><th>Координаты WGS84</th><td>37&deg;&nbsp;43'&nbsp;33.6'' N<br />35&deg;&nbsp;&nbsp;&nbsp;8'&nbsp;55.2'' E</td></tr><tr><th>Описаний</th><td>1 техническое</td></tr><tr><th>Номер</th><td>13697</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/13697'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (35.148667 37.726 0)"
"пер. Агурское Плато","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Агурское Плато</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>2986</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td></td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;35'&nbsp;45.93'' N<br />41&deg;&nbsp;12'&nbsp;18.64'' E</td></tr><tr><th>Описаний</th><td>1 с фото</td></tr><tr><th>Номер</th><td>9519</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/9519'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.205179 43.596092 0)"
"пер. Аджикол","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Аджикол</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б*</td></tr><tr><th>Высота</th><td>3879</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>между в. Аджколчат и Аджиколчатбаши. Лед.Каярта - р.Аджикол. Камнеопасен</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;17'&nbsp;48.11'' N<br />42&deg;&nbsp;55'&nbsp;&nbsp;&nbsp;1.66'' E</td></tr><tr><th>Описаний</th><td>1 с фото</td></tr><tr><th>Номер</th><td>9684</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/9684'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.917127777778 43.296697222222 0)"
"пер. Адылсу","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Адылсу</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3300</td></tr><tr><th>Характер склонов</th><td>сн-ос</td></tr><tr><th>Соединяет</th><td>р.Адылсу - лед.Джалов-чат (р.Адырсу)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;13'&nbsp;57'' N<br />42&deg;&nbsp;44'&nbsp;26'' E</td></tr><tr><th>Описаний</th><td>5, в т.ч. 5 технических, 3 с фото</td></tr><tr><th>Номер</th><td>5</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/5'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.740555555556 43.2325 0)"
"пер. Айхва","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Айхва</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3500</td></tr><tr><th>Характер склонов</th><td>ск-ос</td></tr><tr><th>Соединяет</th><td>ледн.Белаг Южн., р.Белагидон - р.Айхвадон (р.Урух)</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;56'&nbsp;19.98'' N<br />43&deg;&nbsp;34'&nbsp;39.42'' E</td></tr><tr><th>Описаний</th><td>16, в т.ч. 16 технических, 8 с фото</td></tr><tr><th>Номер</th><td>112</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/112'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (43.577617 42.938883 0)"
"пер. Ак Южный","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Ак Южный</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3450</td></tr><tr><th>Характер склонов</th><td>ос-сн</td></tr><tr><th>Соединяет</th><td>р.Индрюкой - р.Мырды (р.Узункол)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;14'&nbsp;35.16'' N<br />42&deg;&nbsp;&nbsp;&nbsp;5'&nbsp;13.06'' E</td></tr><tr><th>Описаний</th><td>4, в т.ч. 3 технических, 2 с фото</td></tr><tr><th>Номер</th><td>92</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/92'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.08696 43.2431 0)"
"пер. Ак-Айры Восточный","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Ак-Айры Восточный</font></h2></th></tr><tr><th>Другие названия</th><td>Ак-Айры Верхний</td></tr><tr><th>Категория сложности</th><td>1Б*</td></tr><tr><th>Высота</th><td>3336</td></tr><tr><th>Характер склонов</th><td>ск-ос</td></tr><tr><th>Соединяет</th><td>ледн.Ак-Айры, р.София (р.Зеленчук Бол.) - р.Чучхурка (р.Кизгыч-Баш)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;25'&nbsp;&nbsp;&nbsp;6.12'' N<br />41&deg;&nbsp;15'&nbsp;36.36'' E</td></tr><tr><th>Описаний</th><td>22, в т.ч. 16 технических, 20 с фото</td></tr><tr><th>Номер</th><td>195</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/195'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.2601 43.418366666667 0)"
"пер. Ак-Айры Ц.","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Ак-Айры Ц.</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3150</td></tr><tr><th>Характер склонов</th><td>ск-сн-ос</td></tr><tr><th>Соединяет</th><td>лед.Ак-Айры - д.р. Кышлаусу. Между пер. Ак-Айры З. и пер.Акмана.</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;25'&nbsp;15.92'' N<br />41&deg;&nbsp;14'&nbsp;46.39'' E</td></tr><tr><th>Описаний</th><td>9, в т.ч. 5 технических, 7 с фото</td></tr><tr><th>Номер</th><td>196</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/196'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.24622 43.42109 0)"
"пер. Ак-Тебе","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Ак-Тебе</font></h2></th></tr><tr><th>Другие названия</th><td>Ак-Тюбе, Актебе, Актюбе</td></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3315</td></tr><tr><th>Характер склонов</th><td>сн</td></tr><tr><th>Соединяет</th><td>ледн.Гвандра Зап., р.Актебе (р.Индрюкой, р.Гондарай, р.Махар) - ледн.Мырды, р.Мырды (р.Узункол)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;13'&nbsp;12.1'' N<br />42&deg;&nbsp;&nbsp;&nbsp;6'&nbsp;20.1'' E</td></tr><tr><th>Описаний</th><td>21, в т.ч. 19 технических, 18 с фото</td></tr><tr><th>Номер</th><td>81</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/81'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.105583333333 43.220027777778 0)"
"пер. Аксаут Южн.","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Аксаут Южн.</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3100</td></tr><tr><th>Характер склонов</th><td>ск-сн</td></tr><tr><th>Соединяет</th><td>ледн.Аксаут Юго-Вост. - ледн.Аксаут Юго-Зап.</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;18'&nbsp;&nbsp;&nbsp;2.27'' N<br />41&deg;&nbsp;27'&nbsp;22.1'' E</td></tr><tr><th>Номер</th><td>3551</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3551'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.45614 43.30063 0)"
"пер. Аксу-Едигёль","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Аксу-Едигёль</font></h2></th></tr><tr><th>Другие названия</th><td>N6, Русско-Украинской дружбы</td></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3390</td></tr><tr><th>Характер склонов</th><td>сн</td></tr><tr><th>Соединяет</th><td>плато Едигёль - р.Аксу</td></tr><tr><th>Координаты WGS84</th><td>37&deg;&nbsp;49'&nbsp;58.8'' N<br />35&deg;&nbsp;11'&nbsp;27'' E</td></tr><tr><th>Описаний</th><td>8, в т.ч. 6 технических, 7 с фото</td></tr><tr><th>Номер</th><td>6505</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/6505'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (35.190833 37.833 0)"
"пер. Актур Вост.","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Актур Вост.</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3483</td></tr><tr><th>Характер склонов</th><td>лд-ос</td></tr><tr><th>Соединяет</th><td>л. Актур, р.Джалпаккол (р.Гондарай) - р.Мырды (р.Узункол)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;15'&nbsp;10.4'' N<br />42&deg;&nbsp;&nbsp;&nbsp;5'&nbsp;26.77'' E</td></tr><tr><th>Описаний</th><td>14 технических,  с фото</td></tr><tr><th>Номер</th><td>13226</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/13226'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.09077 43.25289 0)"
"пер. Актур Зап.","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Актур Зап.</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3420</td></tr><tr><th>Характер склонов</th><td>сн-ос</td></tr><tr><th>Соединяет</th><td>р.Ак-Тебе (р.Индрюкой) - р.Джалпакол</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;15'&nbsp;11.66'' N<br />42&deg;&nbsp;&nbsp;&nbsp;4'&nbsp;17.35'' E</td></tr><tr><th>Описаний</th><td>3, в т.ч. 2 технических, 1 с фото</td></tr><tr><th>Номер</th><td>86</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/86'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.071485 43.25324 0)"
"пер. Акчай","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Акчай</font></h2></th></tr><tr><th>Другие названия</th><td>N5</td></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3380</td></tr><tr><th>Характер склонов</th><td>сн-ск</td></tr><tr><th>Соединяет</th><td>дол.Джимбар (Демирказык Сев.) - р.Аксу</td></tr><tr><th>Координаты WGS84</th><td>37&deg;&nbsp;50'&nbsp;41.46'' N<br />35&deg;&nbsp;11'&nbsp;18.96'' E</td></tr><tr><th>Описаний</th><td>9, в т.ч. 5 технических, 5 с фото</td></tr><tr><th>Номер</th><td>6491</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/6491'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (35.1886 37.84485 0)"
"пер. Алахун В.","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Алахун В.</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3591</td></tr><tr><th>Характер склонов</th><td>сн-ск</td></tr><tr><th>Соединяет</th><td>р.Чирахчай, р.Кумеарху - р.Алахунчай, р.Карасамур</td></tr><tr><th>Координаты WGS84</th><td>41&deg;&nbsp;48'&nbsp;42.09'' N<br />47&deg;&nbsp;19'&nbsp;17.33'' E</td></tr><tr><th>Описаний</th><td>1 техническое</td></tr><tr><th>Номер</th><td>2722</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/2722'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (47.32148055555599 41.811691666667 0)"
"пер. Альпинистский","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Альпинистский</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3430</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>лд. Когутай – р. Когутайка
(через северное ребро г. Б. Когутай)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;13'&nbsp;&nbsp;&nbsp;5.67'' N<br />42&deg;&nbsp;32'&nbsp;38.17'' E</td></tr><tr><th>Описаний</th><td>2, в т.ч. 2 технических, 1 с фото</td></tr><tr><th>Номер</th><td>11372</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/11372'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.543936111111 43.218241666667 0)"
"пер. Аманауз Северный","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Аманауз Северный</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3195</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>ледн. Азимба - пр. притоки р. Бол. Лаба</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;25'&nbsp;&nbsp;&nbsp;7.16'' N<br />41&deg;&nbsp;&nbsp;&nbsp;5'&nbsp;31.16'' E</td></tr><tr><th>Описаний</th><td>3 с фото</td></tr><tr><th>Номер</th><td>10974</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/10974'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.09198888888901 43.418655555556 0)"
"пер. Амуго","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Амуго</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б*</td></tr><tr><th>Высота</th><td>3622</td></tr><tr><th>Характер склонов</th><td>ск-ос-cн-лд</td></tr><tr><th>Соединяет</th><td>р.Амугосхеви (р.Андаки, р.Аргун) - р.Ларованисцкали (р.Пирикительская Алазани, р.Андийское Койсу)</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;28'&nbsp;&nbsp;&nbsp;5.99'' N<br />45&deg;&nbsp;16'&nbsp;24.75'' E</td></tr><tr><th>Номер</th><td>2443</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/2443'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (45.273541666667 42.46833 0)"
"пер. Анадаги","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Анадаги</font></h2></th></tr><tr><th>Другие названия</th><td>Anada&#287;i</td></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3308</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>ущ. Давали – ущ. Паловит</td></tr><tr><th>Координаты WGS84</th><td>40&deg;&nbsp;48'&nbsp;56.64'' N<br />41&deg;&nbsp;&nbsp;&nbsp;7'&nbsp;27.62'' E</td></tr><tr><th>Номер</th><td>13652</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/13652'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.124338888889 40.815733055556 0)"
"пер. Ангел","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Ангел</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3220</td></tr><tr><th>Характер склонов</th><td>ск-сн-ос</td></tr><tr><th>Соединяет</th><td>сев.исток р.Кичи-Талычат (р.Махар) - р.Трехозерная (р.Махар)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;17'&nbsp;53.7'' N<br />41&deg;&nbsp;55'&nbsp;&nbsp;&nbsp;1.02'' E</td></tr><tr><th>Описаний</th><td>1 техническое,  с фото</td></tr><tr><th>Номер</th><td>14757</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/14757'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.91695 43.29825 0)"
"пер. Арцелинех","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Арцелинех</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3660</td></tr><tr><th>Характер склонов</th><td>ск-лд</td></tr><tr><th>Соединяет</th><td>р.Бурши, р.Арцелинех, лед.Арцелинех - р.Гунтуца, р.Хултайчай, р.Карасамур</td></tr><tr><th>Координаты WGS84</th><td>41&deg;&nbsp;54'&nbsp;&nbsp;&nbsp;9.65'' N<br />47&deg;&nbsp;&nbsp;&nbsp;3'&nbsp;25.85'' E</td></tr><tr><th>Описаний</th><td>1 с фото</td></tr><tr><th>Номер</th><td>2703</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/2703'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (47.05718 41.90268 0)"
"пер. Ассоль","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Ассоль</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3490</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td></td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;19'&nbsp;&nbsp;&nbsp;9.88'' N<br />42&deg;&nbsp;32'&nbsp;44.81'' E</td></tr><tr><th>Описаний</th><td>6, в т.ч. 5 технических, 5 с фото</td></tr><tr><th>Номер</th><td>7535</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/7535'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.54578 43.31941 0)"
"пер. Асырха","false","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Асырха</font></h2></th></tr><tr><th>Категория сложности</th><td>1Б</td></tr><tr><th>Высота</th><td>3050</td></tr><tr><th>Характер склонов</th><td>сн-ос-лд</td></tr><tr><th>Соединяет</th><td>р.Пардгали (р.Бзыбь) - р.Геригеле (р.Аданге)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;19'&nbsp;55.36'' N<br />41&deg;&nbsp;17'&nbsp;&nbsp;&nbsp;3.18'' E</td></tr><tr><th>Номер</th><td>3421</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3421'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.284216666667 43.332044444444 0)"
