name,description,WKT
"пер. 73-х","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. 73-х</font></h2></th></tr><tr><th>Другие названия</th><td>Семидесяти трех</td></tr><tr><th>Категория сложности</th><td>1А*</td></tr><tr><th>Высота</th><td>3148</td></tr><tr><th>Характер склонов</th><td>лд-ос</td></tr><tr><th>Соединяет</th><td>р.Кичи-Теберда (р.Аксаут) - р.Алибек</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;19'&nbsp;46.76'' N<br />41&deg;&nbsp;33'&nbsp;58.68'' E</td></tr><tr><th>Описаний</th><td>6, в т.ч. 5 технических, 3 с фото</td></tr><tr><th>Номер</th><td>235</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/235'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.566301111111 43.329655 0)"
"пер. Абгецки","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Абгецки</font></h2></th></tr><tr><th>Категория сложности</th><td>1А*</td></tr><tr><th>Высота</th><td>2800</td></tr><tr><th>Характер склонов</th><td>ск-ос</td></tr><tr><th>Соединяет</th><td>р.Бол.Лаба - р.Абгецки (р.Санчара)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;26'&nbsp;36.53'' N<br />41&deg;&nbsp;&nbsp;&nbsp;0'&nbsp;35.03'' E</td></tr><tr><th>Описаний</th><td>3, в т.ч. 1 техническое, 1 с фото</td></tr><tr><th>Номер</th><td>3375</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3375'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.00973 43.44348 0)"
"пер. Авсанвандаг","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Авсанвандаг</font></h2></th></tr><tr><th>Другие названия</th><td>Вациспарс</td></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>3230</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>р.Закка - р.Хырадулдон, р.Терек</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;37'&nbsp;59.28'' N<br />44&deg;&nbsp;14'&nbsp;&nbsp;&nbsp;0.01'' E</td></tr><tr><th>Описаний</th><td>2 технических</td></tr><tr><th>Номер</th><td>3942</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3942'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (44.2333367008 42.6331320856 0)"
"пер. Агур","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Агур</font></h2></th></tr><tr><th>Другие названия</th><td>Агур Южный</td></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>2970</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>р.Агур Зап. (р.Кяфар-Агур, р.Кяфар) - р.Агур Южн. (р.Кяфар-Агур, р.Кяфар)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;35'&nbsp;26.69'' N<br />41&deg;&nbsp;11'&nbsp;&nbsp;&nbsp;7.44'' E</td></tr><tr><th>Описаний</th><td>73, в т.ч. 70 технических, 62 с фото</td></tr><tr><th>Номер</th><td>3441</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3441'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.185399444444 43.590746944444 0)"
"пер. Агур Северный","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Агур Северный</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>2997</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td>группа озер под пер. Мылгвал в истоках р. Кяфар-Агур - оз. Турье в верховьях прав. притока р. Кяфар-Агур</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;35'&nbsp;38.94'' N<br />41&deg;&nbsp;11'&nbsp;&nbsp;&nbsp;9.88'' E</td></tr><tr><th>Описаний</th><td>12, в т.ч. 9 технических, 11 с фото</td></tr><tr><th>Номер</th><td>10377</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/10377'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.18607883333299 43.594150583333 0)"
"пер. Аджара","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Аджара</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>2700</td></tr><tr><th>Характер склонов</th><td>ск-ос</td></tr><tr><th>Соединяет</th><td>р.Цахвоа - р.Лашипсе</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;32'&nbsp;15.35'' N<br />40&deg;&nbsp;41'&nbsp;27.44'' E</td></tr><tr><th>Номер</th><td>3330</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3330'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.690955555556 43.537597222222 0)"
"пер. Азау","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Азау</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>3428</td></tr><tr><th>Характер склонов</th><td>ос-сн</td></tr><tr><th>Соединяет</th><td>р.Уллуозень - р.Азау</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;15'&nbsp;43.59'' N<br />42&deg;&nbsp;24'&nbsp;49.16'' E</td></tr><tr><th>Описаний</th><td>7, в т.ч. 7 технических, 2 с фото</td></tr><tr><th>Номер</th><td>65</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/65'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.413656944444 43.262108611111 0)"
"пер. Азгек","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Азгек</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>3100</td></tr><tr><th>Характер склонов</th><td>сн-ос</td></tr><tr><th>Соединяет</th><td>р.Азгек (р.Муху) - оз.Хаджибей, р.Хаджибей</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;24'&nbsp;48.56'' N<br />41&deg;&nbsp;36'&nbsp;49.5'' E</td></tr><tr><th>Описаний</th><td>6, в т.ч. 5 технических, 4 с фото</td></tr><tr><th>Номер</th><td>223</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/223'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.61375 43.41349 0)"
"пер. Ак","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Ак</font></h2></th></tr><tr><th>Другие названия</th><td>Ак Северный</td></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>3450</td></tr><tr><th>Характер склонов</th><td>сн-ос</td></tr><tr><th>Соединяет</th><td>р.Индрюкой - р.Мырды (р.Узункол)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;14'&nbsp;49.5'' N<br />42&deg;&nbsp;&nbsp;&nbsp;5'&nbsp;13.98'' E</td></tr><tr><th>Описаний</th><td>14, в т.ч. 13 технических, 10 с фото</td></tr><tr><th>Номер</th><td>88</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/88'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.087217 43.247083 0)"
"пер. Ак-Айры Зап.","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Ак-Айры Зап.</font></h2></th></tr><tr><th>Категория сложности</th><td>1А*</td></tr><tr><th>Высота</th><td>3150</td></tr><tr><th>Характер склонов</th><td>ск-сн</td></tr><tr><th>Соединяет</th><td>лед.Ак-Айры - д.р. Кышлаусу. Между в.Надежда и пер. Ак-Айры Ц.</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;25'&nbsp;24.42'' N<br />41&deg;&nbsp;14'&nbsp;28.62'' E</td></tr><tr><th>Описаний</th><td>17, в т.ч. 11 технических, 14 с фото</td></tr><tr><th>Номер</th><td>194</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/194'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.241283333333 43.42345 0)"
"пер. Аксаут Нижн.","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Аксаут Нижн.</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>2867</td></tr><tr><th>Характер склонов</th><td>сн-ос</td></tr><tr><th>Соединяет</th><td>р.Аксаут - ледн.Джалаучат, р.Джалаучат (р.Аксаут)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;19'&nbsp;36.7'' N<br />41&deg;&nbsp;28'&nbsp;10.6'' E</td></tr><tr><th>Описаний</th><td>2, в т.ч. 1 техническое, 1 с фото</td></tr><tr><th>Номер</th><td>3511</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3511'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.46961 43.32686 0)"
"пер. Алахун З.","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Алахун З.</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>3550</td></tr><tr><th>Характер склонов</th><td>сн-ос</td></tr><tr><th>Соединяет</th><td>р.Харчунчай - р.Хеляхан, р.Алахунчай</td></tr><tr><th>Координаты WGS84</th><td>41&deg;&nbsp;48'&nbsp;28.55'' N<br />47&deg;&nbsp;17'&nbsp;57.98'' E</td></tr><tr><th>Описаний</th><td>1 техническое</td></tr><tr><th>Номер</th><td>2719</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/2719'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (47.29943888888901 41.807930555556 0)"
"пер. Алибек","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Алибек</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>3168</td></tr><tr><th>Характер склонов</th><td>ос-сн</td></tr><tr><th>Соединяет</th><td>р.Алибек - р.Аксаут</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;19'&nbsp;31'' N<br />41&deg;&nbsp;31'&nbsp;34'' E</td></tr><tr><th>Описаний</th><td>20, в т.ч. 17 технических, 12 с фото</td></tr><tr><th>Номер</th><td>237</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/237'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.526111111111 43.325277777778 0)"
"пер. Амарантов","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Амарантов</font></h2></th></tr><tr><th>Другие названия</th><td>Тюмбашар</td></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>3391</td></tr><tr><th>Характер склонов</th><td>тропа-ос</td></tr><tr><th>Соединяет</th><td>р.Тюмбашар (Твиби) (р.Адишчала, р.Ингури) - р.Адишчала (р.Ингури)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;&nbsp;&nbsp;1'&nbsp;11.52'' N<br />42&deg;&nbsp;57'&nbsp;55.5'' E</td></tr><tr><th>Номер</th><td>15550</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/15550'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.965417 43.019867 0)"
"пер. Анаторисгеле","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Анаторисгеле</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>2768</td></tr><tr><th>Характер склонов</th><td>тр-ос-тропа</td></tr><tr><th>Соединяет</th><td>р.Горшаглисцкали (р.Хевсурская Арагви) - р.Акнехицкали (р.Гуроцкали, р.Аргун)</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;34'&nbsp;13.68'' N<br />45&deg;&nbsp;&nbsp;&nbsp;1'&nbsp;50.34'' E</td></tr><tr><th>Номер</th><td>2422</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/2422'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (45.03065 42.570466944444 0)"
"пер. Андаки","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Андаки</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>2887</td></tr><tr><th>Характер склонов</th><td>тр-ос-тропа</td></tr><tr><th>Соединяет</th><td>истоки р.Андаки (р.Аргун) - исток р.Бролисхеви (р.Ботаницкали, р.Пшавская Арагви)</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;26'&nbsp;&nbsp;&nbsp;7.21'' N<br />45&deg;&nbsp;12'&nbsp;41.05'' E</td></tr><tr><th>Номер</th><td>15153</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/15153'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (45.211401944444 42.435335 0)"
"пер. Арабика","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Арабика</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>2500</td></tr><tr><th>Характер склонов</th><td>сн-ос</td></tr><tr><th>Соединяет</th><td>р.Псахаджа (р.Гега) - р.Цандрипш</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;25'&nbsp;27.41'' N<br />40&deg;&nbsp;21'&nbsp;16.49'' E</td></tr><tr><th>Описаний</th><td>1 техническое,  с фото</td></tr><tr><th>Номер</th><td>3352</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3352'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (40.354580555556 43.424280555556 0)"
"пер. Артани","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Артани</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>2760</td></tr><tr><th>Характер склонов</th><td>тр-ос-тропа</td></tr><tr><th>Соединяет</th><td>р.Богачарсхеви (р.Пшавская Арагви) - р.Иори</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;21'&nbsp;55.76'' N<br />45&deg;&nbsp;&nbsp;&nbsp;9'&nbsp;&nbsp;&nbsp;3.2'' E</td></tr><tr><th>Номер</th><td>15154</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/15154'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (45.15089 42.365488 0)"
"пер. Артыкол","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Артыкол</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>3308</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td></td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;23'&nbsp;&nbsp;&nbsp;8.06'' N<br />42&deg;&nbsp;42'&nbsp;48.03'' E</td></tr><tr><th>Номер</th><td>7576</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/7576'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.7133420071 43.3855710621 0)"
"пер. Архотисгеле","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Архотисгеле</font></h2></th></tr><tr><th>Другие названия</th><td>Архоти</td></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>2935</td></tr><tr><th>Характер склонов</th><td>тр-ос-тропа</td></tr><tr><th>Соединяет</th><td>р.Цирцлованцкали (р.Асса) - р.Бло (р.Хевсурская Арагви)</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;35'&nbsp;38.14'' N<br />44&deg;&nbsp;54'&nbsp;26.44'' E</td></tr><tr><th>Описаний</th><td>1 упоминание</td></tr><tr><th>Номер</th><td>2418</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/2418'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (44.907345 42.593928333333 0)"
"пер. Архотистависгеле","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Архотистависгеле</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>3230</td></tr><tr><th>Характер склонов</th><td>тр-ос-тропа</td></tr><tr><th>Соединяет</th><td>р.Джута (р.Сносцкали, р.Терек) - р.Цирцлованцкали (р.Асса)</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;35'&nbsp;53.94'' N<br />44&deg;&nbsp;51'&nbsp;14.12'' E</td></tr><tr><th>Описаний</th><td>2, в т.ч. 1 техническое, 1 с фото</td></tr><tr><th>Номер</th><td>2365</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/2365'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (44.853922222222 42.598316666667 0)"
"пер. Архыз","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Архыз</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>3000</td></tr><tr><th>Характер склонов</th><td>ск-ос</td></tr><tr><th>Соединяет</th><td>пр.исток р.Кяфар-Агур (р.Кяфар) - р.Зеленчук Бол.</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;35'&nbsp;40.09'' N<br />41&deg;&nbsp;14'&nbsp;45.24'' E</td></tr><tr><th>Описаний</th><td>37, в т.ч. 31 техническое, 30 с фото</td></tr><tr><th>Номер</th><td>3434</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3434'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.2459 43.59447 0)"
"пер. Арчиб-Худун","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Арчиб-Худун</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>3335</td></tr><tr><th>Характер склонов</th><td>ос</td></tr><tr><th>Соединяет</th><td>р.Хатар - р.Дюльтычай</td></tr><tr><th>Координаты WGS84</th><td>41&deg;&nbsp;55'&nbsp;27.98'' N<br />46&deg;&nbsp;55'&nbsp;22.3'' E</td></tr><tr><th>Описаний</th><td>1 с фото</td></tr><tr><th>Номер</th><td>2683</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/2683'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (46.92285999999999 41.92444 0)"
"пер. Аршира-1","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Аршира-1</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>0</td></tr><tr><th>Характер склонов</th><td></td></tr><tr><th>Соединяет</th><td></td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;55'&nbsp;43.86'' N<br />42&deg;&nbsp;45'&nbsp;41.02'' E</td></tr><tr><th>Номер</th><td>12260</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/12260'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.761395 42.928849 0)"
"пер. Аршира-2","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Аршира-2</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>3191</td></tr><tr><th>Характер склонов</th><td>ск-ос</td></tr><tr><th>Соединяет</th><td>р.Лассиль (р.Ингури) - р.Аршира (р.Ингури)</td></tr><tr><th>Координаты WGS84</th><td>42&deg;&nbsp;55'&nbsp;&nbsp;&nbsp;2.65'' N<br />42&deg;&nbsp;45'&nbsp;35.87'' E</td></tr><tr><th>Номер</th><td>3772</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/3772'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (42.759963 42.917402 0)"
"пер. Арючат","<table class=""westra_passes""><tr><th colspan='2'><h2><font color='#cc0000'>пер. Арючат</font></h2></th></tr><tr><th>Категория сложности</th><td>1А</td></tr><tr><th>Высота</th><td>3000</td></tr><tr><th>Характер склонов</th><td>ос</td></tr><tr><th>Соединяет</th><td>зап.исток р.Уллу-Марка - р.Арючат (р.Аксаут)</td></tr><tr><th>Координаты WGS84</th><td>43&deg;&nbsp;24'&nbsp;&nbsp;&nbsp;0.33'' N<br />41&deg;&nbsp;31'&nbsp;54.86'' E</td></tr><tr><th>Описаний</th><td>9, в т.ч. 9 технических, 7 с фото</td></tr><tr><th>Номер</th><td>233</td></tr></table><br /><b class=""westra_passes""><a href='https://westra.ru/passes/Passes/233'>Посмотреть подробнее в Каталоге</a></b>","POINT Z (41.531906111111 43.400091111111 0)"
